"Codigo_qr";"Nombre de la variedad";"Fecha_siembra";"Sede";"Bloque";"Cama";"Lado";"Total sembrado";"Tipo";"Largo";"Ancho";"Productividad";"Metros cuadrados";"Sem_Siem";"Edad en semanas";
"|SKY2|B05_5A";"";"3/01/2024";"|SKY2|";"B05";"5";"A";"2.122,00";"DIANTHUS";"34,00";"1,00";"0,8";"34";"1";"24";
"|SKY2|B05_2A";"";"7/11/2023";"|SKY2|";"B05";"2";"A";"704,00";"DIANTHUS";"14,00";"1,00";"0,8";"14";"45";"-20";
"|SKY1|B32_18A";"VICENT CHOICE";"12/06/2024";"|SKY1|";"B32";"18";"A";"955,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_8A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B32";"8";"A";"960,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_17A";"VICENT CHOICE";"12/06/2024";"|SKY1|";"B32";"17";"A";"962,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_8A";"VICENT CHOICE";"14/06/2024";"|SKY1|";"B32";"8";"A";"960,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_14A";"VICENT CHOICE";"13/06/2024";"|SKY1|";"B32";"14";"A";"962,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_7A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B32";"7";"A";"940,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_15A";"VICENT CHOICE";"12/06/2024";"|SKY1|";"B32";"15";"A";"994,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_9A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B32";"9";"A";"955,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_16A";"VICENT CHOICE";"12/06/2024";"|SKY1|";"B32";"16";"A";"942,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_12A";"VICENT CHOICE";"13/06/2024";"|SKY1|";"B32";"12";"A";"960,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_11A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B32";"11";"A";"230,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_10A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B32";"10";"A";"955,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_13A";"VICENT CHOICE";"13/06/2024";"|SKY1|";"B32";"13";"A";"994,00";"GIRASOL";"30,00";"1,00";"0,5";"30";"24";"1";
"|SKY1|B32_2B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"2";"B";"1.001,00";"GIRASOL";"31,00";"1,00";"0,5";"31";"24";"1";
"|SKY1|B32_1B";"VICENT CHOICE";"13/06/2024";"|SKY1|";"B32";"1";"B";"1.007,00";"GIRASOL";"31,00";"1,00";"0,5";"31";"24";"1";
"|SKY1|B32_4B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"4";"B";"994,00";"GIRASOL";"31,00";"1,00";"0,5";"31";"24";"1";
"|SKY1|B32_5B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"5";"B";"1.001,00";"GIRASOL";"31,00";"1,00";"0,5";"31";"24";"1";
"|SKY1|B32_8B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"8";"B";"1.007,00";"GIRASOL";"32,00";"1,00";"0,5";"32";"24";"1";
"|SKY1|B32_7B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"7";"B";"936,00";"GIRASOL";"32,00";"1,00";"0,5";"32";"24";"1";
"|SKY1|B32_6B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"6";"B";"1.014,00";"GIRASOL";"32,00";"1,00";"0,5";"32";"24";"1";
"|SKY1|B32_3B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"3";"B";"994,00";"GIRASOL";"31,00";"1,00";"0,5";"31";"24";"1";
"|SKY1|B32_9B";"VICENT CHOICE";"11/06/2024";"|SKY1|";"B32";"9";"B";"1.007,00";"GIRASOL";"32,00";"1,00";"0,5";"32";"24";"1";
"|SKY1|B33_1A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B33";"1";"A";"1.144,00";"GIRASOL";"35,00";"1,00";"0,5";"35";"24";"1";
"|SKY1|B33_2A";"VICENT FRESH";"14/06/2024";"|SKY1|";"B33";"2";"A";"1.150,00";"GIRASOL";"35,00";"1,00";"0,5";"35";"24";"1";
